NumCom,Combinacion,TP,TN,FP,FN
314,0101110010000000,18,342,40,41
315,1101110010000000,1,325,57,58
316,0011110010000000,27,351,31,32
317,1011110010000000,1,325,57,58
318,0111110010000000,27,351,31,32
319,1111110010000000,1,325,57,58
320,0000001010000000,25,349,33,34
321,1000001010000000,2,326,56,57
322,0100001010000000,25,349,33,34
323,1100001010000000,2,326,56,57
324,0010001010000000,31,355,27,28
325,1010001010000000,1,325,57,58
326,0110001010000000,31,355,27,28
327,1110001010000000,1,325,57,58
328,0001001010000000,21,345,37,38
329,1001001010000000,1,325,57,58
330,0101001010000000,21,345,37,38
331,1101001010000000,1,325,57,58
332,0011001010000000,28,352,30,31
333,1011001010000000,1,325,57,58
334,0111001010000000,28,352,30,31
335,1111001010000000,1,325,57,58
336,0000101010000000,28,352,30,31
337,1000101010000000,2,326,56,57
338,0100101010000000,28,352,30,31
339,1100101010000000,2,326,56,57
340,0010101010000000,30,354,28,29
341,1010101010000000,1,325,57,58
342,0110101010000000,30,354,28,29
343,1110101010000000,1,325,57,58
344,0001101010000000,24,348,34,35
345,1001101010000000,1,325,57,58
346,0101101010000000,24,348,34,35
347,1101101010000000,1,325,57,58
348,0011101010000000,28,352,30,31
349,1011101010000000,1,325,57,58
350,0111101010000000,28,352,30,31
351,1111101010000000,1,325,57,58
352,0000011010000000,24,348,34,35
353,1000011010000000,1,325,57,58
354,0100011010000000,24,348,34,35
355,1100011010000000,1,325,57,58
356,0010011010000000,28,352,30,31
357,1010011010000000,1,325,57,58
358,0110011010000000,28,352,30,31
359,1110011010000000,1,325,57,58
360,0001011010000000,19,343,39,40
361,1001011010000000,1,325,57,58
362,0101011010000000,19,343,39,40
363,1101011010000000,1,325,57,58
364,0011011010000000,26,350,32,33
365,1011011010000000,1,325,57,58
366,0111011010000000,26,350,32,33
367,1111011010000000,1,325,57,58
368,0000111010000000,27,351,31,32
369,1000111010000000,1,325,57,58
370,0100111010000000,27,351,31,32
371,1100111010000000,1,325,57,58
