1,201,40,0,8,8,0,1,0,0,1,0,0,0,1,15,0
0,17,0,13,0,13,0,4,0,0,0,3,1,0,2,0,0
1,80,8,0,8,8,7,2,0,0,2,0,0,0,1,4,0
1,80,8,2,8,10,7,2,0,0,2,0,0,0,1,4,0
1,146,8,1,13,14,0,3,0,0,1,0,1,1,3,1,0
0,93,13,7,2,9,0,2,1,0,0,1,0,0,2,8,0
1,112,28,4,5,9,0,3,1,0,0,2,0,0,2,8,0
0,209,43,17,1,18,0,2,1,0,0,1,0,0,2,11,0
1,21,0,2,4,6,0,3,0,0,0,2,1,0,2,0,0
0,18,0,18,0,18,2,3,0,1,0,2,0,0,2,0,0
0,38,1,2,1,3,0,2,0,0,1,0,0,1,2,0,0
1,105,15,1,5,6,0,1,0,0,1,0,0,0,1,3,0
5,422,47,0,14,14,0,1,0,0,0,0,1,0,1,5,0
0,10,0,16,0,16,1,4,0,1,2,0,1,0,3,0,0
0,23,0,12,8,20,25,11,0,2,2,4,1,2,5,0,0
1,166,9,6,8,14,26,7,0,0,2,2,2,1,4,1,0
0,119,24,2,2,4,0,0,0,0,0,0,0,0,0,18,0
1,63,7,11,9,20,0,9,1,4,0,1,3,0,4,3,0
2,156,0,3,11,14,0,1,0,0,0,1,0,0,1,3,0
1,171,39,3,2,5,1,5,1,1,0,2,0,1,4,3,0
0,29,0,6,4,10,0,2,0,0,0,1,1,0,2,1,0
1,97,6,1,4,5,0,2,0,1,0,0,1,0,2,1,0
2,149,1,1,8,9,13,10,1,1,4,1,1,2,6,1,0
1,86,6,1,12,13,0,2,1,0,0,0,1,0,2,6,0
1,208,35,1,0,1,0,0,0,0,0,0,0,0,0,5,0
2,165,0,9,10,19,0,1,0,0,0,1,0,0,1,3,0
2,158,0,6,11,17,0,1,0,0,0,1,0,0,1,3,0
0,71,1,8,4,12,0,3,0,0,0,2,1,0,2,2,0
1,117,10,1,4,5,0,1,0,0,0,0,1,0,1,2,0
1,72,11,2,10,12,1,6,0,4,0,0,2,0,2,3,0
0,20,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
0,31,0,3,2,5,7,4,0,0,3,0,1,0,2,6,0
0,22,0,4,2,6,0,1,0,0,1,0,0,0,1,1,0
0,23,0,5,1,6,0,2,0,0,0,2,0,0,1,0,0
1,87,0,1,14,15,0,5,1,0,1,2,1,0,4,0,0
0,12,0,10,0,10,0,1,0,0,0,1,0,0,1,0,0
1,110,7,5,7,12,2,4,1,0,1,2,0,0,3,4,0
0,70,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0
0,472,66,19,27,46,0,5,0,0,0,1,4,0,2,20,0
2,33,0,9,1,10,0,3,0,1,0,1,1,0,3,0,0
1,101,7,1,8,9,7,3,0,0,2,0,1,0,2,1,0
1,70,1,4,6,10,2,2,0,0,1,0,1,0,2,0,0
2,29,0,16,0,16,0,2,0,0,0,2,0,0,1,1,0
1,104,12,9,2,11,0,4,1,0,0,3,0,0,2,4,0
0,56,2,3,5,8,0,2,0,0,0,0,2,0,1,4,0
2,68,21,1,3,4,0,0,0,0,0,0,0,0,0,5,0
0,149,29,21,7,28,0,5,1,0,0,2,2,0,3,2,0
0,123,17,16,6,22,0,5,1,0,0,2,2,0,3,0,0
1,83,3,1,4,5,0,1,0,0,0,0,1,0,1,1,0
0,54,4,1,5,6,0,0,0,0,0,0,0,0,0,8,0
1,149,20,2,2,4,0,1,0,0,0,1,0,0,1,7,0
3,62,0,7,2,9,13,8,0,1,5,0,2,0,3,0,0
1,115,0,1,22,23,18,16,1,0,6,5,2,2,5,1,0
1,22,0,5,3,8,0,3,0,0,0,2,1,0,2,0,0
0,15,0,3,2,5,0,1,0,0,0,0,1,0,1,0,0
